Process,Narrative,SME Hazard Type Label,,SME Severity Label
Employee Suggestion,"Install new eye wash and safety shower nearby GM-0007A/B/C Utility pumps, because there is injection point for Sodium Hypochlorite.",Safety - contact with chemicals,,
QSI Observation,Eye wash inlet pipe found broken inside the battery room of the security equipment building Bldg-114.,Safety - contact with chemicals,,
QSI Observation,2. Damaged coating was observed on small portion of the 6?É¬¢?Ç‚Ç¨?Ç¬ù branch connected to the 12?É¬¢?Ç‚Ç¨?Ç¬ù Regen line from D-0201A-D at the first pipe rack nearby PS-A10 in NGL-Train #2.,None - minor maintenance,,
QSI Observation,Missing task light reflector located at the west side of B90-D-0201B at NGL Train 2,None - minor maintenance,,1C
QSI Observation,Dosing Pump A found with flickering control panel suspect of water leak causing shortage at Chlorination Skid Building 135,Safety - electric,,
Employee Suggestion,"During Routine maintenance or T&I while isolation method disconnect piping that will required to install Heavy Flange, moreover while lifting by crane blind flange the bad practice is utilizing Bar Rod or Bolts direct linked to the Crane hook which i",None - minor maintenance,,
QSI Observation,2nd UV Sterilizer AC air filter is totally clogged with dust B92-S-0637B,None - minor maintenance,,1C
QSI Observation,Instruct all personnel on removing drain?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s covers immediately after the hot work activity is completed. Drain covers were observed at B92-D-6005 A/B area without any justification (hot work activity).,Safety - fire and explosion,,
Employee Suggestion,There road cross overhead pipe lines entering between MS1 Substation & RMU pipe line.install Warning-Overhead-pipelines,Safety - fire and explosion,,
QSI Observation,PIB 1A/B Entrance lighting in air lock area is not working.,None - minor maintenance,,
QSI Observation,OWS# 116 nearby analyzer shelter for CGTG#E plug missing,None - minor maintenance,,
QSI Observation,One DC 30 Extinguesher B-96-PE-402 located Inlet gas treat workshop Bldg due for annual inspection,Safety - fire and explosion,,
QSI Observation,"All building wet Sprinkler system such as, (Dining hall Admin bldg B54-120 ,Fire station B54-123 ,Maintenance building B56-102 and SS Welding shop B56-111) need to inspected and test by the FrPD annually by including them under FrPD PM system. th",Safety - fire and explosion,,
QSI Observation,"Clean, inspect and repair as necessary Fire Water Pump B92-G-0009B mechanical seal. Report any LOPC identified as per the requirements of the GI-6.031 - Reporting, Investigation and Recording of LOPC Events.",None - minor maintenance,,
QSI Observation,Lube Oil leakage on the IGC-01 plat form need to repaired and the skid require hydro-jetting.,None - minor maintenance,,
QSI Observation,Skirt access manhole of LP fuel gas KO drums must to be permanent locked as well as the other applicable drums.,None - minor maintenance,,
QSI Observation,"OME Building 308, HVAC Room. The HVAC room door is observed with broken handle and shall be fixed. Additionally, Several room lights require repair to provide adequate lighting.",None - minor maintenance,,
QSI Observation,B58-LRH-104 hose reel station near by D-0001B LP flare KO drum main isolation valve not painted with orang.,None - minor maintenance,,1C
QSI Observation,Fire hose cabinet FHC-18 / B54-134 located at the at Emergency Diesel Generator Building (Bldg. #134) need repairs and inspection due to broken door and hose support. Please properly inspect and maintain fire protection equipment as per the requireme,Safety - fire and explosion,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Loss prevention bulletin is nor posted at OME bulletin board.,Others,,
QSI Observation,Ground jumper is detached from B92-G-002B that located at the south side of Chemical Storage Building. Reconnect the ground jumper,None - minor maintenance,,
QSI Observation,Loose cover bolt from Instrument Junction box 22-IFJB-204 at Pipe Rack R-321 Beam C-306 at Gas Treat 2,None - minor maintenance,,1C
QSI Observation,Chemical Hazard Boards (CHB) are missing at the F-MDEA B91-D-005 system. Warnings of the dangers associated with hazardous materials shall be posted at their storage location as per the Construction Safety Manual (CSM) I-12 Section 12.5.,None - minor maintenance,,
QSI Observation,Water Leak over the shade of dry type transformer B54-XTR-001 at Chlorination Skid Building 135,Safety - fire and explosion,,
Employee Suggestion,There are Confined space entry staircase on the roof of Utility Cooling Water basins B92-E-0052A/B/C/Dto install a safety latch on the staircase,Safety - slip trip and fall,,
QSI Observation,Repair water leak at fire water pump B92-G-009 B,None - minor maintenance,,
QSI Observation,1. CGTG Train-D: upstream drain plug for RV SAP#4481851 found with dropping hot oil leakage,Safety - fire and explosion,,
QSI Observation,"Consider including in routine inspection, cleaning access window pane to status panel of fire water pumps B92-G-009 A/B/C",None - minor maintenance,,
QSI Observation,Cylinder Storage two Helium cylinder installed without CHB label,Safety - contact with chemicals,,
QSI Observation,Repair the light panel switch B91-LCP-100 for G-0108A HO Suction,None - minor maintenance,,
QSI Observation,Several carseals in the Fire Water Diesel pumps system were observed to be wrongly installed allowing the valves to be operated without damaging the carseal. Review facility?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s carseal program to ensure all required carseals are properly selected for the respective type of valve and the installation is done correctly.,None - minor maintenance,,
QSI Observation,"Clean, inspect and repair as necessary 20-PI-0127 at the F-MDEA 91-G-0002A pump system. PI has a plug loose and wet marks indicating a possible release. In the case a LOPC is identified, report it as per the requirements of the GI-6.031 - Reporting, Investigation and Recording of LOPC Events.",None - minor maintenance,,
QSI Observation,"Clean, inspect, repair or replace as necessary 6in valve located at the Utility Water to RMU Header next to the 43-PIT-1006. Wet marks were observed at the valve area.",None - minor maintenance,,
QSI Observation,"Instruct all supervisors on conducting regular test and inspections of illuminated exit signs. South and East side exit door?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s illuminated exit signs at RO building, utility substation battery room 101, West and East doors of chemical storage buildin",None - minor maintenance,,
QSI Observation,"GM-0001 flare K.O drum?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s pump has a failure in the isolation procedure, missing blinds that should be installed according to the isolation procedure and suction, discharge and LP flare lines are covered with a plastic bag, Boiler maker must be instal",None - minor maintenance,,
Employee Suggestion,The automatic sliding glass door of the main entrance of Shaybah NGL Admin building need to install sign stickers (Automatic Sliding Door) for glass doors as safety warning to avoid any employees hit the door which was happened.,Safety - collision,,
QSI Observation,"Lab Mechanical room door closure is broken since April,2018",None - minor maintenance,,
QSI Observation,Eye wash at PIB-3A/B without Drain & connected with portable hose which is not meeting requirement,Safety - contact with chemicals,,
QSI Observation,Damaged Instrument cable tray on the ground level at the south side of B90-D-0102B at NGL Train 1c,None - minor maintenance,,2C
QSI Observation,Missing car-seals are observed on the orange-colored isolation valves for IA supply to 83-ZV-1030 and IA supply to 83-TV-1011. Improve practices among the unit area for installing and maintaining car seals.,None - minor maintenance,,
Employee Suggestion,"PZVs from Chilled water on E-X16 & E-X17 are disposal to OWS which is the Atmosphere pressure, notice that the set point pressure for PZV on : ?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É‚Äö?Ç¬¢ E-X16 is 230 psig ?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É‚Äö?Ç¬¢ E-X17 is 330 psig The high pressure could be caused inside the Chilled water exch",None - minor maintenance,,
QSI Observation,RG#3 HP skid K-0302 needs cleaning & Maintanance due to oil accumilation,Safety - slip trip and fall,,
QSI Observation,oil skid D-0351 at RG#3 HP needs cleaning & Maintanance due to oil accumilation,Safety - slip trip and fall,,
Employee Suggestion,Driver needs to slide all the seat before passengers ride the bus.,Safety - collision,,1C
Near Miss,Oil drums & Chemical drums were under direct sun,Safety - contact with chemicals,,5C
Employee Suggestion,install LEL&H2S detectors at NGL1&2 battery limit,Safety - contact with chemicals,,4C
QSI Observation,Clean the alga and mud between the substation- 401 and the PIB,None - minor maintenance,,1C
Employee Suggestion,In a real emergency or a drill our workforce will evacuate the plant to the assigned assembly point. however during day time Shaybah summer weather is extreme. people will have a sun strike or heat exhaustion if they were standing directly exposed to,None,,
Unsafe Condition,CABLE TRAY IS DAMAGE,Safety - collision,,
QSI Observation,"?É¬¢?Ç‚Ç¨?Ç¬¢ Backfill, asphalt or pour concrete on all FW leaks areas such as FG knock out area, Cogen G, around fire hydrant, etc.",Safety - fire and explosion,,
Employee Suggestion,There are special type of non-sparking sockets were we can use it in our daily activity inside the plant Instead of the regular one (steal socket)Replace the steal socket with a special socket (non-sparking socket),None - minor maintenance,,
Employee Suggestion,Each maintenance workshop should have one SCBA for weekly or monthly employees practice in order to increase safety awareness.,Others,,
QSI Observation,1- Lab building 101 Disconnect switch (B56-101-HU) in off position without lockout tagout in the mechanical room.,None - minor maintenance,,
Unsafe Condition,"at GT#1 I found the outlet for reflux 30"" line to AGC near by ZV-1037 vibrating even by hand.",None - minor maintenance,,
